System Epoch,Device,Category,E4 Epoch,Value
1669786318160,E4,Gsr,1669786316.965,1.992264
1669786318160,E4,Gsr,1669786317.215,1.992264
1669786318161,E4,Gsr,1669786317.465,1.988422
1669786318161,E4,Gsr,1669786317.715,1.982018
1669786318161,E4,Gsr,1669786317.965,1.980737
1669786318161,E4,Gsr,1669786318.215,1.974333
1669786319669,E4,Gsr,1669786318.465,1.974333
1669786319669,E4,Gsr,1669786318.715,1.973053
1669786319670,E4,Gsr,1669786318.965,1.971772
1669786319670,E4,Gsr,1669786319.215,1.964087
1669786319670,E4,Gsr,1669786319.465,1.958964
1669786319670,E4,Gsr,1669786319.715,1.955122
1669786321175,E4,Gsr,1669786319.965,1.955122
1669786321175,E4,Gsr,1669786320.215,1.946156
1669786321176,E4,Gsr,1669786320.465,1.946156
1669786321176,E4,Gsr,1669786320.715,1.946156
1669786321176,E4,Gsr,1669786320.965,1.939752
1669786321176,E4,Gsr,1669786321.215,1.938471
1669786322660,E4,Gsr,1669786321.465,1.933348
1669786322660,E4,Gsr,1669786321.465,1.933348
1669786322661,E4,Gsr,1669786321.965,1.925663
1669786322661,E4,Gsr,1669786322.215,1.919259
1669786322661,E4,Gsr,1669786322.465,1.916698
1669786322661,E4,Gsr,1669786322.715,1.911575
1669786324168,E4,Gsr,1669786322.965,1.912855
1669786324168,E4,Gsr,1669786323.215,1.909013
1669786324168,E4,Gsr,1669786323.465,1.911575
1669786324168,E4,Gsr,1669786323.715,1.909013
1669786324168,E4,Gsr,1669786323.965,1.906451
1669786324168,E4,Gsr,1669786324.215,1.906451
1669786325676,E4,Gsr,1669786324.465,1.902609
1669786325676,E4,Gsr,1669786324.715,1.901328
1669786325677,E4,Gsr,1669786324.965,1.919259
1669786325677,E4,Gsr,1669786325.215,1.95256
1669786325677,E4,Gsr,1669786325.465,2.005072
1669786325677,E4,Gsr,1669786325.715,2.044777
1669786327160,E4,Gsr,1669786325.965,2.080639
1669786327160,E4,Gsr,1669786326.215,2.103693
