,,Category,Value,,
1664977579639,1664977579.616590,E4_Bvp,96.70242,,
1664977579639,1664977579.632210,E4_Bvp,86.85736,,
1664977579639,1664977579.647840,E4_Bvp,72.1955,,
1664977579639,1664977579.663470,E4_Bvp,60.92255,,
1664977579639,1664977579.679090,E4_Bvp,57.48001,,
1664977579817,1664977579.710340,E4_Bvp,60.45587,,
1664977579817,1664977579.694720,E4_Bvp,64.09384,,
1664977579817,1664977579.725970,E4_Bvp,62.55359,,
1664977579817,1664977579.741590,E4_Bvp,53.80789,,
1664977579817,1664977579.757220,E4_Bvp,41.3382,,
1664977579817,1664977579.772850,E4_Bvp,32.10959,,
1664977579817,1664977579.788470,E4_Bvp,32.34317,,
1664977579817,1664977579.804100,E4_Bvp,43.37805,,
1664977579817,1664977579.819720,E4_Bvp,60.55951,,
1664977579817,1664977579.835350,E4_Bvp,75.27466,,
1664977579818,1664977579.850970,E4_Bvp,79.66339,,
1664977579996,1664977579.866600,E4_Bvp,70.86664,,
1664977579996,1664977579.882230,E4_Bvp,52.52017,,
1664977579997,1664977579.897850,E4_Bvp,32.69775,,
1664977579997,1664977579.929100,E4_Bvp,19.37933,,
1664977579997,1664977579.913480,E4_Bvp,16.13702,,
1664977579997,1664977579.944730,E4_Bvp,20.34204,,
1664977579997,1664977579.960350,E4_Bvp,25.15324,,
1664977579997,1664977579.975980,E4_Bvp,14.45352,,
1664977579997,1664977579.991610,E4_Bvp,23.90163,,
1664977579998,1664977580.007230,E4_Bvp,0.6291656,,
1664977579998,1664977580.022860,E4_Bvp,-9.736832,,
1664977580154,1664977580.038480,E4_Bvp,-9.534821,,
1664977580155,1664977580.054110,E4_Bvp,3.417282,,
1664977580155,1664977580.069730,E4_Bvp,24.68604,,
1664977580155,1664977580.085360,E4_Bvp,45.49361,,
1664977580155,1664977580.100990,E4_Bvp,57.24532,,
1664977580155,1664977580.116610,E4_Bvp,56.01895,,
1664977580155,1664977580.132240,E4_Bvp,44.34508,,
1664977580155,1664977580.147860,E4_Bvp,29.13986,,
1664977580155,1664977580.163490,E4_Bvp,17.4015,,
1664977580156,1664977580.179110,E4_Bvp,12.15596,,
1664977580156,1664977580.194740,E4_Bvp,7.955811,,
1664977580313,1664977580.210370,E4_Bvp,10.96471,,
1664977580313,1664977580.225990,E4_Bvp,-1.910919,,
1664977580313,1664977580.241620,E4_Bvp,-19.19946,,
1664977580313,1664977580.257240,E4_Bvp,-38.71489,,
1664977580313,1664977580.272870,E4_Bvp,-51.86699,,
1664977580313,1664977580.288490,E4_Bvp,-51.14105,,
1664977580313,1664977580.304120,E4_Bvp,-34.47044,,
1664977580313,1664977580.319750,E4_Bvp,-6.679047,,
1664977580313,1664977580.335370,E4_Bvp,22.5851,,
1664977580314,1664977580.351000,E4_Bvp,43.67896,,
1664977580314,1664977579.220000,E4_Bvp,51.57758,,
1664977580469,1664977579.470000,E4_Bvp,47.92418,,
1664977580469,1664977579.720000,E4_Bvp,39.28928,,
1664977580469,1664977579.970000,E4_Bvp,32.63531,,
1664977580469,1664977580.470000,E4_Bvp,31.04816,,
1664977580469,1664977580.366620,E4_Bvp,32.03798,,
1664977580492,1664977580.382250,E4_Bvp,29.45993,,
1664977580492,1664977580.397870,E4_Bvp,17.88895,,
1664977580492,1664977580.413500,E4_Bvp,-3.251022,,
1664977580492,1664977580.429130,E4_Bvp,-28.49808,,
1664977580492,1664977580.444750,E4_Bvp,-48.55424,,
1664977580492,1664977580.460380,E4_Bvp,-55.13356,,
1664977580492,1664977580.476000,E4_Bvp,-45.38722,,
1664977580492,1664977580.491630,E4_Bvp,-23.75377,,
1664977580493,1664977580.507250,E4_Bvp,0.3128967,,
1664977580493,1664977580.522880,E4_Bvp,17.08626,,
1664977580493,1664977580.538510,E4_Bvp,21.60626,,
1664977580672,1664977580.554130,E4_Bvp,15.93533,,
1664977580672,1664977580.569760,E4_Bvp,7.481232,,
1664977580672,1664977580.585380,E4_Bvp,4.294083,,
1664977580672,1664977580.601010,E4_Bvp,10.23402,,
1664977580672,1664977580.616630,E4_Bvp,22.53804,,
1664977580673,1664977580.632260,E4_Bvp,33.55832,,
1664977580673,1664977580.647890,E4_Bvp,35.21381,,
1664977580673,1664977580.663510,E4_Bvp,23.91217,,
1664977580673,1664977580.679140,E4_Bvp,2.95755,,
1664977580673,1664977580.694760,E4_Bvp,-19.20284,,
1664977580673,1664977580.710390,E4_Bvp,-33.37498,,
1664977580830,1664977580.726010,E4_Bvp,-34.62558,,
1664977580830,1664977580.741640,E4_Bvp,-24.78345,,
1664977580830,1664977580.757270,E4_Bvp,-11.01057,,
1664977580830,1664977580.772890,E4_Bvp,-1.416534,,
1664977580831,1664977580.788520,E4_Bvp,-0.5285492,,
1664977580831,1664977580.804140,E4_Bvp,-6.728424,,
1664977580832,1664977580.819770,E4_Bvp,-13.61845,,
1664977580832,1664977580.835400,E4_Bvp,-14.2403,,
1664977580832,1664977580.851020,E4_Bvp,-5.455276,,
1664977580832,1664977580.866650,E4_Bvp,9.843918,,
1664977580832,1664977580.882270,E4_Bvp,24.07031,,
1664977581010,1664977580.897900,E4_Bvp,29.21535,,
1664977581010,1664977580.913520,E4_Bvp,21.52295,,
1664977581010,1664977580.929150,E4_Bvp,3.763992,,
1664977581010,1664977580.944780,E4_Bvp,-16.01015,,
1664977581011,1664977580.960400,E4_Bvp,-28.94485,,
1664977581011,1664977580.976030,E4_Bvp,-29.97913,,
1664977581011,1664977580.991650,E4_Bvp,-20.52818,,
1664977581011,1664977581.007280,E4_Bvp,-7.166107,,
1664977581011,1664977581.022900,E4_Bvp,2.421799,,
1664977581011,1664977581.038530,E4_Bvp,4.020416,,
1664977581011,1664977581.054160,E4_Bvp,-0.9345551,,
1664977581190,1664977581.069780,E4_Bvp,-6.561768,,
1664977581190,1664977581.085410,E4_Bvp,-6.655212,,
1664977581190,1664977581.101030,E4_Bvp,1.161407,,
1664977581190,1664977581.116660,E4_Bvp,13.48611,,
1664977581190,1664977581.132280,E4_Bvp,22.82738,,
1664977581190,1664977581.147910,E4_Bvp,21.8772,,
1664977581190,1664977581.163540,E4_Bvp,8.002472,,
1664977581190,1664977581.179160,E4_Bvp,-14.57141,,
1664977581191,1664977581.194790,E4_Bvp,-36.52997,,
1664977581191,1664977581.210410,E4_Bvp,-48.00121,,
1664977581191,1664977581.226040,E4_Bvp,-43.64102,,
1664977581347,1664977581.241660,E4_Bvp,-25.23363,,
1664977581347,1664977581.257290,E4_Bvp,-0.3996277,,
1664977581347,1664977581.272920,E4_Bvp,21.69254,,
1664977581347,1664977581.288540,E4_Bvp,34.89798,,
1664977581347,1664977581.304170,E4_Bvp,38.69588,,
1664977581347,1664977581.319790,E4_Bvp,37.26837,,
1664977581347,1664977581.335420,E4_Bvp,35.98291,,
1664977581348,1664977581.351040,E4_Bvp,37.48953,,
1664977581348,1664977581.366670,E4_Bvp,39.74014,,
1664977581348,1664977581.382300,E4_Bvp,37.22896,,
1664977581348,1664977581.397920,E4_Bvp,24.96712,,
1664977581527,1664977581.413550,E4_Bvp,2.615387,,
1664977581527,1664977581.429170,E4_Bvp,-24.00259,,
1664977581527,1664977581.444800,E4_Bvp,-44.91544,,
1664977581528,1664977581.460420,E4_Bvp,-51.28085,,
1664977581528,1664977581.476050,E4_Bvp,-40.04755,,
1664977581528,1664977581.491680,E4_Bvp,-16.13744,,
1664977581528,1664977581.507300,E4_Bvp,9.735931,,
1664977581528,1664977581.522930,E4_Bvp,26.11848,,
1664977581528,1664977581.538550,E4_Bvp,26.40549,,
1664977581528,1664977581.554180,E4_Bvp,11.90649,,
1664977581529,1664977581.569800,E4_Bvp,-9.120331,,
1664977581684,1664977581.585430,E4_Bvp,-25.87524,,
1664977581685,1664977581.601060,E4_Bvp,-30.51811,,
1664977581685,1664977581.616680,E4_Bvp,-21.53708,,
1664977581685,1664977581.632310,E4_Bvp,-3.766281,,
1664977581685,1664977581.647930,E4_Bvp,15.05194,,
1664977581685,1664977581.663560,E4_Bvp,28.45706,,
1664977581685,1664977581.679180,E4_Bvp,34.22081,,
1664977581686,1664977581.694810,E4_Bvp,34.46217,,
1664977581686,1664977581.710440,E4_Bvp,33.15579,,
1664977581686,1664977581.726060,E4_Bvp,32.82361,,
1664977581686,1664977581.741690,E4_Bvp,32.54071,,
1664977581886,1664977581.757310,E4_Bvp,28.70541,,
1664977581886,1664977581.772940,E4_Bvp,17.9837,,
1664977581886,1664977581.788560,E4_Bvp,0.7031403,,
1664977581886,1664977581.804190,E4_Bvp,-18.07843,,
1664977581887,1664977581.819820,E4_Bvp,-30.70906,,
1664977581887,1664977581.835440,E4_Bvp,-31.32857,,
1664977581887,1664977581.851070,E4_Bvp,-19.71359,,
1664977581887,1664977581.866690,E4_Bvp,-2.343185,,
1664977581888,1664977581.882320,E4_Bvp,10.47119,,
1664977581888,1664977581.897940,E4_Bvp,10.03226,,
1664977581888,1664977580.720000,E4_Bvp,-5.929474,,
1664977581953,1664977580.970000,E4_Bvp,-31.49841,,
1664977581954,1664977581.220000,E4_Bvp,-55.1739,,
1664977581955,1664977581.470000,E4_Bvp,-65.86688,,
1664977581955,1664977581.720000,E4_Bvp,-58.57889,,
1664977581955,1664977581.970000,E4_Bvp,-37.01996,,
1664977581955,1664977581.913570,E4_Bvp,-11.61134,,
1664977582048,1664977581.929200,E4_Bvp,6.000931,,
1664977582048,1664977581.944820,E4_Bvp,9.019165,,
1664977582048,1664977581.960450,E4_Bvp,-1.396088,,
1664977582048,1664977581.976070,E4_Bvp,-17.06244,,
1664977582049,1664977581.991700,E4_Bvp,-27.50066,,
1664977582049,1664977582.022950,E4_Bvp,-25.56432,,
1664977582049,1664977582.038580,E4_Bvp,-11.03825,,
1664977582049,1664977582.007320,E4_Bvp,9.506409,,
1664977582049,1664977582.054200,E4_Bvp,26.52147,,
1664977582049,1664977582.069830,E4_Bvp,32.61581,,
1664977582049,1664977582.085450,E4_Bvp,26.44427,,
1664977582202,1664977582.101080,E4_Bvp,13.11099,,
1664977582202,1664977582.116700,E4_Bvp,-2.457047,,
